DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por UF de residência e Mês Notificação
Período:2012
"UF de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";240;287;374;286;294;270;242;189;96;154;296;487;3215
"12 Acre";388;378;204;134;87;46;47;35;36;91;257;553;2256
"13 Amazonas";904;1216;455;202;206;249;319;200;193;276;402;726;5348
"14 Roraima";155;93;237;186;249;194;167;272;120;65;69;40;1847
"15 Pará";2414;3102;3247;1824;1214;677;701;885;570;450;716;561;16361
"16 Amapá";35;29;56;39;57;53;77;232;294;304;253;111;1540
"17 Tocantins";1576;2119;2271;1945;1405;607;345;176;116;210;345;603;11718
"21 Maranhão";557;749;1140;800;703;471;288;254;163;109;61;76;5371
"22 Piauí";626;706;1316;2400;3803;1555;815;473;187;130;127;98;12236
"23 Ceará";1807;2387;4538;9470;25005;7367;2043;846;425;379;399;306;54972
"24 Rio Grande do Norte";1061;1584;3469;5824;5836;3365;2357;1397;592;362;407;390;26644
"25 Paraíba";90;181;590;1493;2112;1193;1046;935;415;260;142;133;8590
"26 Pernambuco";3188;4823;7871;6544;3835;1782;1302;723;298;252;239;209;31066
"27 Alagoas";1084;1260;3099;5014;5226;3184;3024;2403;1453;810;668;278;27503
"28 Sergipe";429;542;727;940;763;397;320;182;101;96;45;15;4557
"29 Bahia";3140;4395;9304;10269;9002;4168;2524;1657;853;736;891;1336;48275
"31 Minas Gerais";2133;2478;3690;4587;4200;2536;1476;733;497;674;1026;5904;29934
"32 Espírito Santo";884;759;956;1051;1031;938;876;585;565;700;859;2228;11432
"33 Rio de Janeiro";7479;13159;30487;46648;43126;19949;6477;3247;1764;1400;1773;2909;178418
"35 São Paulo";1487;2772;5365;6639;5217;2324;905;518;263;448;812;1339;28089
"41 Paraná";130;345;827;965;715;186;74;59;43;75;171;941;4531
"42 Santa Catarina";11;18;16;15;15;4;4;2;-;1;2;3;91
"43 Rio Grande do Sul";20;15;36;33;30;8;4;2;-;-;4;9;161
"50 Mato Grosso do Sul";500;571;796;1432;892;491;218;124;186;245;975;2769;9199
"51 Mato Grosso";1603;2795;5208;5824;5535;2759;1937;1238;541;941;1662;2790;32833
"52 Goiás";2293;2440;2541;2405;3118;2171;1351;1040;901;1372;1691;2810;24133
"53 Distrito Federal";152;135;243;212;205;129;96;82;43;62;50;69;1478
"00 Ignorado/exterior";1;4;9;8;11;4;2;1;-;1;1;4;46
"Total";34387;49342;89072;117189;123892;57077;29037;18490;10715;10603;14343;27697;581844
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 ncluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados, pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG) em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico. A partir de 2013,
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
