 Imunizações - Cobertura - Minas Gerais
Cobertura por Região de Saúde/Município e Ano
Período:1994-2019
"Região de Saúde/Município";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"31001 Alfenas / Machado";67,21;71,33;99,92;85,36;77,16;71,87;66,71;73,27;73,01;74,47;74,38;74,59;76,39;78,66;89,77;79,63;91,60;105,39;115,36;71,58;104,46;94,75;61,13;80,38
".....  ALTEROSA";70,86;82,61;105,72;107,16;76,65;76,63;68,96;70,66;72,53;69,59;70,84;72,63;81,98;88,58;101,53;98,51;89,74;124,53;124,17;64,78;94,73;118,87;61,17;83,97
".....  AREADO";57,69;66,94;99,96;83,00;77,18;71,62;68,06;69,59;76,82;72,79;67,75;71,76;68,95;76,35;95,45;74,72;120,83;121,20;100,15;72,99;108,59;96,92;67,48;80,81
".....  MACHADO";73,91;70,52;98,53;86,72;73,56;70,13;65,85;72,35;71,13;73,93;75,64;77,18;77,97;79,31;85,12;78,62;73,06;99,01;117,10;73,39;117,82;96,45;63,71;79,66
".....  CONCEICAO DA APARECIDA";59,87;83,89;105,53;82,35;77,97;71,78;67,69;84,77;78,99;87,33;95,93;86,61;83,15;86,30;100,35;85,16;115,57;86,30;110,53;72,21;119,55;127,12;78,92;87,58
".....  PARAGUACU";57,50;64,05;102,78;84,54;85,46;76,43;68,77;82,67;80,29;77,90;75,80;80,56;80,36;77,13;98,73;95,85;86,05;147,47;104,54;72,90;152,16;105,78;65,30;86,81
".....  ALFENAS";68,67;65,15;96,06;82,30;72,88;64,18;62,01;65,84;68,37;70,47;70,16;65,11;68,77;70,55;81,18;71,13;80,51;90,96;135,86;69,38;89,13;75,39;52,64;74,59
".....  BANDEIRA DO SUL";55,28;53,75;64,70;63,38;108,73;81,38;72,95;88,83;95,70;89,41;84,26;90,98;91,88;90,42;129,39;114,45;119,39;99,78;91,90;92,32;132,30;133,30;73,67;89,44
".....  CARVALHOPOLIS";42,59;53,23;107,52;77,56;71,84;69,67;64,99;71,40;75,17;64,58;74,13;64,32;75,05;80,63;92,68;75,61;106,63;123,96;88,01;74,32;93,95;117,34;94,89;79,10
".....  CAMPESTRE";78,59;82,35;111,42;90,05;76,59;72,08;65,87;74,70;66,03;67,19;67,67;75,99;75,24;76,97;84,04;75,23;113,50;82,31;94,92;67,14;91,57;89,75;65,63;78,10
".....  SERRANIA";68,75;65,11;103,33;83,95;79,18;73,41;73,18;75,90;78,10;75,03;79,29;81,15;78,48;77,09;76,98;72,84;89,22;97,05;97,29;72,43;94,97;125,54;77,49;81,53
".....  FAMA";74,07;45,10;88,51;59,51;73,66;77,36;74,64;86,28;67,04;63,21;57,25;83,43;81,74;79,41;110,19;105,56;107,75;110,68;84,39;92,36;135,59;94,71;41,06;78,91
".....  DIVISA NOVA";44,90;61,48;93,62;77,97;78,74;79,82;69,15;81,78;75,46;69,90;74,97;76,31;81,07;94,14;109,43;96,17;123,59;152,95;95,93;92,02;139,64;110,70;76,06;86,32
".....  BOTELHOS";64,78;67,81;98,81;76,61;81,14;69,15;64,53;75,28;72,14;75,84;71,60;75,24;84,24;89,14;132,66;99,10;153,76;113,59;102,89;101,33;144,25;115,71;74,95;85,26
".....  CAMPOS GERAIS";69,20;73,22;96,69;94,31;79,84;83,38;72,74;79,28;78,49;83,60;78,23;80,47;79,54;80,02;87,62;69,45;74,79;115,29;107,89;55,71;80,97;91,19;50,09;81,09
".....  CAMPO DO MEIO";74,34;99,71;102,93;87,31;83,51;75,88;71,10;75,66;83,07;89,11;90,66;93,92;87,70;100,62;101,57;106,15;120,12;155,96;109,05;68,31;97,93;123,70;62,77;91,07
".....  POCO FUNDO";63,36;83,88;114,91;85,91;70,83;70,85;65,19;70,38;67,57;72,37;75,13;69,76;74,56;74,56;76,46;76,13;85,67;85,68;103,80;82,74;110,53;91,26;62,63;78,07
"31002 Guaxupé";63,20;67,15;95,94;78,45;76,41;71,24;65,64;71,06;70,97;71,98;73,13;76,54;75,45;80,16;89,68;82,89;89,32;91,25;102,36;71,02;97,34;96,05;61,95;78,13
".....  GUARANESIA";60,32;61,47;85,81;73,25;78,73;76,38;64,86;69,05;70,74;73,33;65,69;74,99;70,50;76,68;85,17;83,73;86,48;83,90;106,66;76,00;101,16;102,89;77,14;77,13
".....  GUAXUPE";58,57;73,43;93,26;74,76;75,97;67,35;66,07;69,17;69,77;69,80;74,82;77,01;78,67;81,72;98,97;86,85;77,10;101,90;111,46;54,89;71,38;81,51;53,38;75,80
".....  MUZAMBINHO";65,40;61,36;101,08;74,82;78,57;73,95;69,12;72,08;68,29;69,54;71,34;71,51;73,01;81,77;91,55;80,34;110,47;85,35;89,91;76,41;108,84;97,55;70,24;78,74
".....  CABO VERDE";70,43;67,41;93,49;82,69;70,37;70,72;62,40;72,69;75,32;75,64;75,37;79,22;73,08;81,83;94,18;69,18;87,09;93,72;69,83;68,05;110,04;106,53;57,96;77,26
".....  MONTE BELO";66,20;60,27;111,01;93,54;80,16;74,86;66,67;72,49;77,01;75,49;73,08;73,88;75,12;78,17;76,34;81,63;80,13;82,48;99,62;91,01;142,24;103,71;69,05;81,22
".....  JURUAIA";67,98;76,47;100,52;91,14;83,28;76,15;64,31;65,80;66,69;66,54;79,65;76,06;73,64;79,70;68,55;94,93;94,64;83,95;113,46;102,17;125,95;99,88;55,31;81,67
".....  SAO PEDRO DA UNIAO";64,99;67,86;105,55;86,96;75,19;65,77;59,43;78,57;70,65;79,37;74,25;76,59;76,46;85,00;99,05;99,66;131,20;74,08;113,64;104,14;184,64;128,48;55,42;84,04
".....  ARCEBURGO";67,67;64,41;95,83;75,27;65,61;67,45;66,21;83,87;73,90;79,27;73,71;92,72;79,90;74,14;75,11;70,86;113,96;84,09;104,10;99,43;118,99;144,68;86,60;82,73
"31003 Itajubá";64,92;69,28;82,83;70,53;116,66;75,07;67,35;78,44;77,44;74,45;74,36;79,35;79,10;83,04;78,21;82,45;68,75;103,18;111,63;55,86;88,19;103,20;63,56;80,17
".....  PARAISOPOLIS";70,59;81,76;85,77;74,34;114,13;79,19;68,04;76,97;70,24;71,22;67,74;75,22;72,08;74,76;68,76;74,26;79,27;97,23;101,49;10,71;66,76;90,02;53,90;74,19
".....  MARIA DA FE";59,95;68,59;74,81;58,62;116,90;75,77;66,70;87,30;70,46;77,57;72,37;79,95;81,39;90,17;82,40;74,46;131,06;112,47;91,79;74,17;95,34;117,01;79,20;82,92
".....  PIRANGUINHO";87,36;55,95;80,98;73,87;107,05;74,55;62,02;86,63;68,56;73,50;75,79;76,56;84,99;91,73;84,86;94,95;119,42;187,53;121,13;72,59;100,56;87,69;61,64;86,87
".....  PEDRALVA";56,72;63,91;77,29;59,09;91,79;64,71;62,04;68,20;65,17;64,47;68,81;71,61;72,00;70,74;67,12;58,51;103,65;78,82;107,30;64,47;99,38;133,14;70,16;73,26
".....  DELFIM MOREIRA";56,21;54,18;83,03;63,65;105,34;72,89;72,34;91,68;100,19;108,94;95,32;87,41;88,30;108,34;97,00;92,80;81,89;110,89;127,63;67,51;107,81;104,78;60,04;89,00
".....  CONSOLACAO";60,23;69,52;69,73;56,84;105,80;90,98;69,20;59,06;81,19;76,20;76,24;89,40;97,31;93,87;98,85;147,81;69,02;119,52;126,29;0,75;120,50;106,49;63,91;81,70
".....  MARMELOPOLIS";52,66;66,22;86,05;55,97;114,44;80,15;59,66;77,80;62,83;59,86;72,20;61,36;79,90;88,68;80,02;86,62;88,65;103,48;111,88;99,03;147,46;110,18;74,46;79,87
".....  BRAZOPOLIS";60,96;68,29;79,55;64,35;116,40;69,73;59,92;72,96;71,48;68,47;70,06;83,76;76,32;80,32;72,09;81,48;86,18;119,92;119,53;75,09;110,46;99,62;63,83;79,44
".....  GONCALVES";85,82;91,87;106,93;79,80;105,87;69,69;69,10;85,60;82,07;75,55;74,75;75,80;82,04;88,81;81,58;94,21;153,73;127,49;110,02;101,79;152,09;192,54;106,39;91,69
".....  PIRANGUCU";60,37;61,42;78,14;67,26;86,75;66,75;71,34;80,23;80,97;74,70;71,67;74,77;80,27;75,41;84,14;88,16;46,83;89,05;163,09;56,94;83,31;176,66;74,03;78,95
".....  WENCESLAU BRAZ";62,39;67,54;90,38;77,50;107,23;76,89;78,15;85,78;80,98;76,50;73,63;87,99;71,96;73,50;54,71;56,58;76,48;92,44;132,62;81,49;127,45;127,07;79,34;82,36
".....  CONCEICAO DAS PEDRAS";51,67;42,59;69,40;58,27;101,14;62,67;60,06;77,25;58,38;75,68;69,23;70,57;78,92;90,37;79,95;118,28;130,04;139,41;84,40;84,20;98,50;131,97;81,24;79,44
".....  ITAJUBA";64,67;71,63;84,45;75,39;125,92;77,64;69,38;76,03;82,44;73,99;75,28;80,92;79,53;83,23;78,46;85,61;43,76;91,90;110,98;56,06;83,37;95,79;59,79;79,70
".....  SAPUCAI-MIRIM";79,19;64,25;79,49;75,82;125,29;80,80;69,80;117,33;93,12;83,34;81,67;83,50;83,60;74,00;85,20;79,50;61,80;153,33;126,71;49,63;97,05;154,73;68,58;87,89
".....  SAO JOSE DO ALEGRE";84,02;81,29;112,69;90,62;125,69;66,82;65,28;68,67;59,12;71,84;81,03;73,44;83,82;93,71;101,58;88,60;79,00;124,73;123,77;44,09;29,51;81,43;65,74;80,46
