DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por UF de residência e Mês Notificação
Período:2013
"UF de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";1996;2445;1770;760;371;155;116;84;75;115;320;337;8544
"12 Acre";746;606;441;188;86;83;68;21;23;21;72;99;2454
"13 Amazonas";2724;3567;3386;2940;1596;953;644;421;295;317;309;458;17610
"14 Roraima";49;54;47;50;127;113;110;75;119;79;69;45;937
"15 Pará";1435;1980;1932;1693;789;243;111;92;98;118;263;270;9024
"16 Amapá";243;201;272;489;218;52;39;58;34;39;32;10;1687
"17 Tocantins";1325;1691;1577;1452;961;457;180;132;105;110;260;318;8568
"21 Maranhão";245;481;518;650;554;328;200;181;169;78;68;80;3552
"22 Piauí";247;431;738;853;736;689;541;251;179;115;75;104;4959
"23 Ceará";828;1600;2322;4736;4949;4279;4378;3542;1390;725;645;579;29973
"24 Rio Grande do Norte";873;1038;1459;2482;2488;2033;1898;1650;955;685;671;421;16653
"25 Paraíba";393;888;1208;1840;2329;1820;1678;1239;729;484;277;237;13122
"26 Pernambuco";223;335;641;1270;1418;920;618;471;371;402;258;201;7128
"27 Alagoas";228;324;521;965;1983;1510;1381;859;759;721;765;592;10608
"28 Sergipe";28;46;39;78;140;110;65;48;39;68;73;57;791
"29 Bahia";5112;10654;16811;13625;6661;2711;1448;883;740;597;623;579;60444
"31 Minas Gerais";32103;56039;135881;139438;35792;8849;2123;833;940;793;960;1543;415294
"32 Espírito Santo";6147;9322;15719;14382;9977;4088;2305;1273;962;714;632;718;66239
"33 Rio de Janeiro";13280;29596;66296;61424;24898;6621;2384;1097;827;685;724;987;208819
"35 São Paulo";10377;26134;66535;72109;28708;7560;1996;756;464;459;626;713;216437
"41 Paraná";4830;11836;20340;18953;6924;1553;294;103;88;133;296;485;65835
"42 Santa Catarina";56;67;54;89;28;19;1;3;1;3;3;3;327
"43 Rio Grande do Sul";31;71;130;107;47;12;4;9;1;3;2;1;418
"50 Mato Grosso do Sul";22613;22885;16825;9491;3814;947;468;200;150;163;261;335;78152
"51 Mato Grosso";8118;7852;7207;5060;2433;1059;652;425;340;455;700;758;35059
"52 Goiás";18433;26911;32798;26660;14737;6307;2689;1733;1233;1631;2129;2862;138123
"53 Distrito Federal";345;556;1317;2926;2995;1529;917;549;245;145;146;226;11896
"00 Ignorado/exterior";7;13;29;26;13;3;2;-;1;4;2;2;102
"Total";133035;217623;396813;384736;155772;55003;27310;16988;11332;9862;11261;13020;1432755
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 ncluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados, pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG) em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico. A partir de 2013,
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
